country,increased
美国,2709072
巴西,612405
印度,468988
土耳其,468886
俄罗斯,407933
德国,274619
意大利,270559
英国,253538
法国,191004
乌克兰,178613
伊朗,160901
墨西哥,148903
波兰,146570
哥伦比亚,126140
塞尔维亚,108080
西班牙,98130
加拿大,96236
荷兰,91212
印度尼西亚,89630
罗马尼亚,86387
瑞典,85208
阿根廷,84415
瑞士,81725
南非,78425
葡萄牙,70748
匈牙利,70100
捷克,66528
阿塞拜疆,63691
格鲁吉亚,58499
约旦,57460
克罗地亚,48679
摩洛哥,47023
巴基斯坦,44851
奥地利,43959
保加利亚,39058
丹麦,37808
立陶宛,36259
日本,32240
比利时,31491
秘鲁,31445
斯洛伐克,29913
巴拿马,29890
孟加拉,29526
白俄罗斯,28943
智利,28357
伊拉克,27095
巴勒斯坦,26693
以色列,24630
摩尔多瓦,21695
希腊,20946
马来西亚,20881
黎巴嫩,20669
菲律宾,20543
阿联酋,20443
缅甸,19673
哥斯达黎加,18388
斯洛文尼亚,17650
突尼斯,16501
波黑,15966
尼泊尔,15293
亚美尼亚,13088
哈萨克斯坦,12773
阿尔巴尼亚,12367
巴拉圭,12317
北马其顿,12308
多米尼加,11711
卢森堡,11256
阿尔及利亚,10376
危地马拉,10304
利比亚,10212
韩国,10163
厄瓜多尔,10063
乌干达,8784
肯尼亚,8739
斯里兰卡,8639
拉脱维亚,8430
洪都拉斯,7735
埃塞俄比亚,7708
黑山,6922
埃及,6545
芬兰,6361
委内瑞拉,6212
爱沙尼亚,6108
尼日利亚,5962
塞浦路斯,5849
苏丹,5232
吉尔吉斯斯坦,5139
萨尔瓦多,5124
博茨瓦纳,4858
科威特,4828
乌拉圭,4313
挪威,4281
爱尔兰,4208
伯利兹,3745
纳米比亚,3669
阿曼,3361
阿富汗,2999
沙特阿拉伯,2934
玻利维亚,2723
卡塔尔,2662
毛里塔尼亚,2588
巴林,2481
乌兹别克斯坦,2305
刚果（金）,1831
加纳,1811
喀麦隆,1671
中国,1620
布基纳法索,1617
牙买加,1508
叙利亚,1505
津巴布韦,1503
马耳他,1477
莫桑比克,1389
古巴,1259
安哥拉,1174
马里,1148
塞内加尔,1076
尼日尔,860
卢旺达,828
赞比亚,760
塔吉克斯坦,706
刚果（布）,701
安道尔,670
佛得角,614
马达加斯加,572
圭亚那,567
圣马力诺,545
海地,429
几内亚,424
斯威士兰,415
科特迪瓦,395
马尔代夫,385
列支敦士登公国,333
多哥,304
加蓬,299
也门,250
厄立特里亚,244
泰国,240
特立尼达和多巴哥,225
莱索托,217
尼加拉瓜,206
巴哈马,194
冰岛,190
索马里,182
贝宁,173
巴布亚新几内亚,145
澳大利亚,142
新加坡,126
蒙古,125
利比里亚,94
乍得,89
吉布提,84
摩纳哥,81
马提尼克岛,75
新西兰,69
赤道几内亚,64
布隆迪,61
冈比亚,60
越南,58
格林纳达,56
不丹,54
苏里南,51
马拉维,50
中非共和国,46
塞拉利昂,45
几内亚比绍,44
柬埔寨,42
圣卢西亚,36
科摩罗,33
毛里求斯,29
塞舌尔,28
巴巴多斯,26
圣文森特和格林纳丁斯,22
斐济,12
安提瓜和巴布达,10
圣基茨和尼维斯,10
多米尼克,6
老挝,4
文莱,3
东帝汶,2
钻石号邮轮,0
马绍尔群岛,0
瓦努阿图,0
坦桑尼亚,0
梵蒂冈,0
所罗门群岛,0
